schoolCode,schoolName,category,province,district,sector,cell,village,email,phoneNumber,representativeEmail,status
SCH00001,Test School 1,VTC,Eastern Province,Gatsibo,Sector 2,Cell 2,Village 2,school1@testschool.rw,+25078000001,,Inactive
SCH00002,Test School 2,Other,Western Province,Nyabihu,Sector 3,Cell 3,Village 3,school2@testschool.rw,+25078000002,,Active
SCH00003,Test School 3,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school3@testschool.rw,+25078000003,,Inactive
SCH00004,Test School 4,VTC,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 5,school4@testschool.rw,+25078000004,,Active
SCH00005,Test School 5,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school5@testschool.rw,+25078000005,,Inactive
SCH00006,Test School 6,TSS,Eastern Province,Rwamagana,Sector 7,Cell 7,Village 7,school6@testschool.rw,+25078000006,,Active
SCH00007,Test School 7,VTC,Western Province,Karongi,Sector 8,Cell 8,Village 8,school7@testschool.rw,+25078000007,,Inactive
SCH00008,Test School 8,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school8@testschool.rw,+25078000008,,Active
SCH00009,Test School 9,TSS,Southern Province,Huye,Sector 10,Cell 10,Village 10,school9@testschool.rw,+25078000009,,Inactive
SCH00010,Test School 10,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school10@testschool.rw,+25078000010,,Active
SCH00011,Test School 11,Other,Eastern Province,Ngoma,Sector 12,Cell 2,Village 12,school11@testschool.rw,+25078000011,,Inactive
SCH00012,Test School 12,TSS,Western Province,Rusizi,Sector 13,Cell 3,Village 13,school12@testschool.rw,+25078000012,,Active
SCH00013,Test School 13,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school13@testschool.rw,+25078000013,,Inactive
SCH00014,Test School 14,Other,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 15,school14@testschool.rw,+25078000014,,Active
SCH00015,Test School 15,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school15@testschool.rw,+25078000015,,Inactive
SCH00016,Test School 16,VTC,Eastern Province,Kayonza,Sector 17,Cell 7,Village 2,school16@testschool.rw,+25078000016,,Active
SCH00017,Test School 17,Other,Western Province,Nyamasheke,Sector 18,Cell 8,Village 3,school17@testschool.rw,+25078000017,,Inactive
SCH00018,Test School 18,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school18@testschool.rw,+25078000018,,Active
SCH00019,Test School 19,VTC,Southern Province,Muhanga,Sector 20,Cell 10,Village 5,school19@testschool.rw,+25078000019,,Inactive
SCH00020,Test School 20,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school20@testschool.rw,+25078000020,,Active
SCH00021,Test School 21,TSS,Eastern Province,Bugesera,Sector 2,Cell 2,Village 7,school21@testschool.rw,+25078000021,,Inactive
SCH00022,Test School 22,VTC,Western Province,Ngororero,Sector 3,Cell 3,Village 8,school22@testschool.rw,+25078000022,,Active
SCH00023,Test School 23,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school23@testschool.rw,+25078000023,,Inactive
SCH00024,Test School 24,TSS,Southern Province,Gisagara,Sector 5,Cell 5,Village 10,school24@testschool.rw,+25078000024,,Active
