serialNumber,category,brand,model,schoolCode,status,specifications,condition
DES-215971739,Desktop,Dell,EliteDesk 800,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
TAB-215972720,Tablet,Huawei,Tab M10,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-215973702,Others,Brother,LaserJet Pro,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-215974683,Tablet,Huawei,Tab M10,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-215975173,Others,Canon,DCP-L2550DW,,Available,"10.1 inch Display, 64GB Storage",New
DES-215976929,Desktop,HP,Veriton M,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-215977832,Desktop,Lenovo,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
LAP-215978174,Laptop,HP,Latitude 3520,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-215979471,Others,Canon,Printer MF445dw,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-159710870,Desktop,HP,EliteDesk 800,,Available,"Network Ready, Duplex Printing",Good
DES-159711073,Desktop,Lenovo,ThinkCentre M720,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-159712566,Projector,ViewSonic,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",New
DES-159713403,Desktop,Dell,Veriton M,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-159714497,Others,Logitech,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",New
LAP-159715039,Laptop,ASUS,ThinkPad E14,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-159716605,Desktop,Acer,OptiPlex 3080,,Maintenance,"3000 Lumens, HDMI, VGA",Good
LAP-159717565,Laptop,Lenovo,ProBook 450,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-159718342,Desktop,Dell,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-159719337,Others,HP,Printer MF445dw,,Maintenance,"Network Ready, Duplex Printing",New
OTH-159720285,Others,Logitech,Printer MF445dw,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-159721241,Desktop,Acer,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-159722183,Desktop,Dell,ThinkCentre M720,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-159723340,Others,Brother,LaserJet Pro,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
OTH-159724993,Others,Logitech,LaserJet Pro,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-159725188,Tablet,Lenovo,iPad 9th Gen,,Maintenance,"Network Ready, Duplex Printing",Good
TAB-159726563,Tablet,Apple,iPad 9th Gen,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-159727859,Laptop,Lenovo,ThinkPad E14,,Available,"3000 Lumens, HDMI, VGA",Good
DES-159728373,Desktop,Acer,OptiPlex 3080,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-159729291,Others,HP,Printer MF445dw,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-159730453,Laptop,HP,ProBook 450,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-159731200,Desktop,Lenovo,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",New
LAP-159732780,Laptop,HP,ProBook 450,,Maintenance,"3000 Lumens, HDMI, VGA",New
DES-159733452,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-159734611,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"4000 Lumens, Wireless",New
PRO-159735812,Projector,BenQ,EB-X05,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-159736341,Others,Brother,LaserJet Pro,,Maintenance,"4000 Lumens, Wireless",Good
TAB-159737143,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-159738753,Laptop,Acer,ThinkPad E14,,Available,"4000 Lumens, Wireless",Fair
PRO-159739990,Projector,Epson,PA503W,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-159740147,Laptop,HP,VivoBook 15,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-159741594,Others,Canon,Webcam C920,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-159742086,Desktop,Dell,EliteDesk 800,,Maintenance,"3000 Lumens, HDMI, VGA",Good
DES-159743133,Desktop,Dell,ThinkCentre M720,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-159744423,Projector,BenQ,MH550,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
DES-159745619,Desktop,Dell,ThinkCentre M720,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-159746275,Tablet,Samsung,Tab M10,,Maintenance,"Network Ready, Duplex Printing",New
TAB-159747918,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
TAB-159748487,Tablet,Samsung,MatePad,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
TAB-159749659,Tablet,Apple,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-159750930,Laptop,ASUS,ThinkPad E14,,Available,"Network Ready, Duplex Printing",Fair
